length,Shaker Sort - Average,Quick Sort - Average,Merge Sort - Average,Heap Sort - Average,Shaker Sort - Best,Quick Sort - Best,Merge Sort - Best,Heap Sort - Best,Shaker Sort - Worst,Quick Sort - Worst,Merge Sort - Worst,Heap Sort - Worst,
1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2,1.000,1.000,1.000,1.000,1,1,1,1,1,1,1,1,
3,2.833,2.667,2.667,3.000,2,2,2,3,3,3,3,3,
4,5.583,4.833,4.667,6.500,3,4,4,6,6,6,5,7,
5,9.142,7.400,7.167,10.950,4,6,5,9,10,10,8,12,
6,13.517,10.300,9.833,15.133,5,8,7,12,15,15,11,17,
7,18.713,13.486,12.733,19.789,6,10,9,16,21,21,14,22,
8,24.721,16.921,15.733,25.814,7,13,12,21,28,28,17,29,
9,31.535,20.579,19.167,32.524,8,16,13,26,36,36,21,37,
10,39.149,24.437,22.667,38.631,9,19,15,31,45,45,25,44,
11,47.560,28.477,26.286,45.237,10,22,17,36,55,55,29,51,
12,56.767,32.683,29.952,51.845,11,25,20,41,66,66,33,59,
13,215.190,119.392,108.991,190.226,12,28,22,46,78,78,37,66,
